Date,Close,High,Low,Open,Volume,USD_KRW,NASDAQ,VIX,priceEarningsRatio,forwardPE,priceToBook,debtEquityRatio,returnOnAssets,returnOnEquity,profitMargins,grossMargins
2022-01-03,399.9266662597656,400.3566589355469,378.67999267578125,382.5833435058594,103931400,1187.780029296875,15832.7998046875,16.600000381469727,269.21268801780656,128.15377511481282,18.79289722433386,16.31858220240677,0.02915505143759526,0.055845428757725135,0.07928359531329998,0.17477003659386478
2022-01-04,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300,1194.6800537109375,15622.7197265625,16.90999984741211,260.8726070073717,125.07048570391781,18.299106203580905,20.02632898463867,0.028632979208968363,0.08349208306293682,0.06373185949445215,0.1938450994721797
2022-01-05,362.7066650390625,390.11334228515625,360.336669921875,382.2166748046875,80119800,1196.5,15100.169921875,19.729999542236328,271.1956507370187,130.71399636840042,17.894086583153545,19.5583506833136,0.026513970023775094,0.07777573109293759,0.05937276645369198,0.21614732785455956
2022-01-06,354.8999938964844,362.6666564941406,340.1666564941406,359.0,90336600,1199.25,15080.8603515625,19.610000610351562,282.692761321446,135.08953688597978,18.19297612136551,20.555653986729798,0.026130188089827547,0.09479326257595913,0.08135754685715803,0.14965117263352593
2022-01-07,342.32000732421875,360.30999755859375,336.6666564941406,360.1233215332031,84164700,1205.780029296875,14935.900390625,18.760000228881836,259.6131585392025,137.04553556301556,18.212409794352514,16.555438242543993,0.03097453479609786,0.08192817646702771,0.05507245950625312,0.17086240900925115
2022-01-10,352.7066650390625,353.0333251953125,326.6666564941406,333.3333435058594,91815000,1196.8800048828125,14942.830078125,19.399999618530273,259.6133741773325,133.765004202648,17.954797119390363,17.320329077419238,0.02797036628214288,0.07204784611846261,0.06356755041576433,0.13322501458541422
2022-01-11,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300,1198.0899658203125,15153.4501953125,18.40999984741211,283.43069254920397,137.7815324692776,18.05652117924721,14.271552239109404,0.03053642063174699,0.08136212997969437,0.06457951860776578,0.17816754879068747
2022-01-12,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000,1189.4300537109375,15188.3896484375,17.6200008392334,272.76844888077994,126.92534386562741,19.75545317880932,19.307646785058772,0.026979663889072303,0.0732158678874439,0.0719736108315763,0.18118709134885147
2022-01-13,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900,1185.8800048828125,14806.8095703125,20.309999465942383,256.5223508369328,145.1723028213501,18.80628347972505,14.858444460901953,0.030135945718602404,0.08564105243828084,0.06572217887833486,0.17411544622206057
2022-01-14,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300,1186.6099853515625,14893.75,19.190000534057617,269.81484772711684,134.8419941212663,18.02296749954294,17.18768153091787,0.03345770299045555,0.08414907659820396,0.060276661814435015,0.16335875317894955
2022-01-18,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400,1190.06005859375,14506.900390625,22.790000915527344,256.60190205786665,142.9621394299872,18.930709430756835,14.977007957763266,0.03133505076916264,0.0896022546635723,0.057405681829850994,0.13897448625702807
2022-01-19,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500,1192.97998046875,14340.259765625,23.850000381469727,256.57153445421955,137.7183688928825,17.987900131388585,15.832349337377492,0.028379255098079217,0.07530295958931353,0.06127147754326943,0.18132936878603773
2022-01-20,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600,1188.1600341796875,14154.01953125,25.59000015258789,265.86666688146846,138.49032704399832,19.366244058014416,15.414473412245089,0.030361308952253547,0.08204808420285756,0.057052048325627686,0.2002409947788399
2022-01-21,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000,1192.4300537109375,13768.919921875,28.850000381469727,237.5587816862389,139.25542178369858,18.631329518943417,15.800371448965072,0.02888763108339057,0.0706082167787964,0.06374339880480137,0.16446899739377963
